"filename", "language", "JavaScript", "CSS", "XML", "Excel", "JSON", "comment", "blank", "total"
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\Navigation\NavigationItems\NavigationItems.module.css", "CSS", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\Navigation\Toolbar\Toolbar.js", "JavaScript", 22, 0, 0, 0, 0, 0, 9, 31
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\Navigation\Toolbar\Toolbar.module.css", "CSS", 0, 25, 0, 0, 0, 0, 6, 31
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\AboutPage\Content.js", "JavaScript", 33, 0, 0, 0, 0, 0, 5, 38
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\AboutPage\Content.module.css", "CSS", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\AboutPage\Header.js", "JavaScript", 42, 0, 0, 0, 0, 0, 5, 47
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\AboutPage\Header.module.css", "CSS", 0, 21, 0, 0, 0, 0, 3, 24
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\AboutPage\Team.js", "JavaScript", 68, 0, 0, 0, 0, 0, 7, 75
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\AboutPage\Team.module.css", "CSS", 0, 47, 0, 0, 0, 5, 8, 60
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Button\AddButton.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Button\CloseButton.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Button\DownloadButton.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Button\ForwardButton.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Button\GenericButton.js", "JavaScript", 18, 0, 0, 0, 0, 0, 2, 20
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Button\RemoveButton.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Button\SettingButton.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\Canvas\Charts\Chart.js", "JavaScript", 67, 0, 0, 0, 0, 3, 8, 78
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Button\Button.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Button\Button.module.css", "CSS", 0, 15, 0, 0, 0, 0, 5, 20
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Charts_DEAD\Chart.js", "JavaScript", 98, 0, 0, 0, 0, 0, 15, 113
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Charts_DEAD\Chart.module.css", "CSS", 0, 3, 0, 0, 0, 0, 2, 5
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Dropdown\Dropdown.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Dropdown\Dropdown.module.css", "CSS", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Form\Form.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Form\Form.module.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Graph\Graph.js", "JavaScript", 73, 0, 0, 0, 0, 5, 9, 87
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Graph\Graph.module.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Input\Input.js", "JavaScript", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Input\Input.module.css", "CSS", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\ReactCharts\Chart.js", "JavaScript", 35, 0, 0, 0, 0, 2, 4, 41
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\components\UI\DEAD\Slider.js", "JavaScript", 24, 0, 0, 0, 0, 0, 7, 31
